timestamp,TIMESTAMP,ACCEL_X,ACCEL_Y,ACCEL_Z,GYRO_P,GYRO_R,GYRO_Y,GSR_RES,GSR_CON,PPG_RAW,HEART_RATE,HRV
164426.853,327667.0313,-6.724117279,5.417115688,-4.325553417,-0.53435117,0.885496199,-0.839694679,318.7555847,2769,1393.406616,-1,218.75
164426.8677,327674.8438,-6.733692169,5.426690578,-4.313584805,-0.58015269,0.641221344,-1.328244328,318.7555847,2769,1394.13916,-1,218.75
164426.8692,327682.6563,-6.726511002,5.436265945,-4.30640316,-0.458015263,0.503816783,-1.129770994,318.603241,2770,1394.871826,-1,218.75
164426.8816,327690.4688,-6.743267536,5.457809925,-4.356672764,-0.4427481,0.473282456,-1.435114503,318.7555847,2769,1396.337036,-1,218.75
164426.8916,327698.2813,-6.757630348,5.469778538,-4.349491119,-0.19847329,0.167938933,-1.190839648,318.603241,2770,1394.871826,-1,218.75
164426.8969,327706.0938,-6.783961773,5.469778538,-4.335128784,-0.122137405,-0.045801528,-1.236641169,318.7555847,2769,1394.871826,-1,218.75
164426.9043,327713.9063,-6.771992683,5.453022003,-4.323159695,0.366412222,0.137404576,-1.11450386,318.603241,2770,1396.337036,-1,218.75
164426.9215,327721.7188,-6.788749218,5.424296856,-4.304009438,0.503816783,-0.381679386,-0.885496199,318.603241,2770,1397.06958,-1,218.75
164426.9302,327729.5313,-6.757630348,5.407540321,-4.304009438,0.412213743,-0.030534351,-0.793893158,318.603241,2770,1397.06958,-1,218.75
164426.932,327737.3438,-6.760024071,5.419509411,-4.320765972,0.671755731,0.045801528,-0.931297719,318.4510498,2771,1396.337036,-1,218.75
164426.9467,327745.1563,-6.743267536,5.412327766,-4.32794714,0.412213743,0.4427481,-0.778625965,318.4510498,2771,1395.60437,-1,218.75
164426.9481,327752.9688,-6.760024071,5.431478024,-4.349491119,0.19847329,0.503816783,-1.206106901,318.603241,2770,1394.13916,-1,218.75
164426.9595,327760.7813,-6.721723557,5.443447113,-4.349491119,-0.122137405,0.4427481,-1.206106901,318.4510498,2771,1391.20874,-1,218.75
164426.9682,327768.5938,-6.716936111,5.414721489,-4.344703674,-0.183206111,0.412213743,-1.297709942,318.4510498,2771,1390.476196,-1,218.75
164426.9744,327776.4063,-6.676241875,5.409934044,-4.342309952,-0.305343509,0.656488538,-1.51145041,318.4510498,2771,1391.941406,-1,218.75
164426.9864,327784.2188,-6.685816765,5.431478024,-4.337522507,-0.412213743,0.19847329,-1.603053451,318.603241,2770,1389.74353,-1,218.75
164426.9964,327792.0313,-6.707360744,5.433871746,-4.32794714,-0.152671754,0.366412222,-1.740458012,318.2990112,2772,1388.278442,-1,218.75
164427.0006,327799.8438,-6.726511002,5.414721489,-4.344703674,-0.076335877,0.122137405,-1.496183157,318.4510498,2771,1384.615356,-1,484.375
164427.0082,327807.6563,-6.757630348,5.414721489,-4.344703674,0.061068702,-0.320610672,-1.312977076,318.2990112,2772,1385.348022,-1,484.375
164427.0103,327815.4688,-6.743267536,5.407540321,-4.337522507,0.473282456,-0.427480906,-1.053435087,318.4510498,2771,1386.080566,-1,484.375
164427.0172,327823.2813,-6.752842426,5.388390064,-4.320765972,0.687022924,-0.274809152,-0.625954211,318.2990112,2772,1389.010986,-1,484.375
164427.0292,327831.0938,-6.752842426,5.369239807,-4.313584805,0.625954211,0.015267176,-0.595419824,318.2990112,2772,1389.74353,-1,484.375
164427.0392,327838.9063,-6.745661259,5.393177509,-4.320765972,0.992366433,0.076335877,-0.610687017,318.2990112,2772,1391.20874,-1,484.375
164427.0405,327846.7188,-6.721723557,5.378815174,-4.31837225,0.595419824,0.229007632,-0.717557251,318.4510498,2771,1390.476196,-1,484.375
164427.0505,327854.5313,-6.697785854,5.390783787,-4.337522507,-0.015267176,0.152671754,-1.053435087,318.2990112,2772,1391.941406,-1,484.375
164427.062,327862.3438,-6.702573299,5.388390064,-4.335128784,0.030534351,-0.030534351,-0.97709924,318.2990112,2772,1393.406616,-1,484.375
164427.0633,327870.1563,-6.688210487,5.421903133,-4.366247654,-0.53435117,-0.396946579,-1.221374035,318.2990112,2772,1395.60437,-1,484.375
164427.0791,327877.9688,-6.716936111,5.438659668,-4.349491119,-0.48854962,-0.671755731,-1.55725193,318.2990112,2772,1400,-1,484.375
164427.0931,327885.7813,-6.71214819,5.455415726,-4.351885319,-0.53435117,-0.335877866,-1.618320584,318.1471252,2773,1402.93042,-1,484.375
164427.104,327893.5938,-6.726511002,5.436265945,-4.351885319,-0.549618304,0.030534351,-1.633587837,318.2990112,2772,1403.662964,-1,484.375
164427.1053,327901.4063,-6.748054981,5.443447113,-4.41891098,-0.076335877,-0.045801528,-1.51145041,318.2990112,2772,1404.39563,-1,484.375
164427.1178,327909.2188,-6.750448704,5.429084301,-4.390185356,0.091603056,0.320610672,-1.374045849,318.2990112,2772,1405.86084,-1,484.375
164427.126,327917.0313,-6.740873814,5.421903133,-4.366247654,0.229007632,0.671755731,-1.480916023,318.1471252,2773,1408.058594,-1,484.375
164427.1341,327924.8438,-6.757630348,5.414721489,-4.385397911,0.167938933,0.595419824,-1.328244328,318.1471252,2773,1408.058594,-1,484.375
164427.1447,327932.6563,-6.748054981,5.388390064,-4.380610466,0.427480906,0.809160292,-1.541984677,318.2990112,2772,1410.25647,-1,484.375
164427.1548,327940.4688,-6.762417793,5.402752876,-4.404548168,0.671755731,0.595419824,-1.46564889,318.1471252,2773,1411.721558,-1,484.375
164427.1647,327948.2813,-6.743267536,5.378815174,-4.44045496,0.396946579,0.763358772,-1.282442689,317.9953613,2774,1412.454224,-1,484.375
164427.173,327956.0938,-6.726511002,5.385996342,-4.406941891,0.290076345,0.229007632,-1.236641169,318.1471252,2773,1412.454224,-1,484.375
164427.1748,327963.9063,-6.704967022,5.37163353,-4.363853931,0.290076345,0.229007632,-1.496183157,317.9953613,2774,1411.721558,-1,484.375
164427.1847,327971.7188,-6.721723557,5.366846085,-4.426092148,0.290076345,0.427480906,-1.496183157,318.1471252,2773,1410.25647,-1,484.375
164427.1916,327979.5313,-6.666666508,5.381208897,-4.433273315,0.519083977,0.4427481,-1.251908422,317.9953613,2774,1408.79126,-1,484.375
164427.2006,327987.3438,-6.704967022,5.409934044,-4.392579079,0.458015263,-0.19847329,-1.51145041,317.9953613,2774,1408.058594,-1,484.375
164427.2095,327995.1563,-6.683423042,5.431478024,-4.394973278,-0.091603056,0.335877866,-1.923664093,317.9953613,2774,1408.79126,-1,484.375
164427.211,328002.9688,-6.697785854,5.366846085,-4.375823021,-0.045801528,0.122137405,-2.061068773,317.9953613,2774,1410.989014,-1,484.375
164427.2129,328010.7813,-6.721723557,5.354877472,-4.406941891,0.366412222,0.152671754,-2.198473215,317.84375,2775,1412.454224,-1,484.375
164427.2147,328018.5938,-6.786355495,5.354877472,-4.447636127,0.854961812,0.076335877,-2.076335907,317.9953613,2774,1411.721558,-1,484.375
164427.2245,328026.4063,-6.736086369,5.374027729,-4.47157383,0.839694679,-0.351145029,-2.198473215,317.84375,2775,1409.523804,-1,484.375
164427.2317,328034.2188,-6.719329834,5.385996342,-4.433273315,0.152671754,-0.473282456,-1.832061052,317.6922913,2776,1406.593384,-1,484.375
164427.2376,328042.0313,-6.700179577,5.383602619,-4.366247654,-0.030534351,-0.305343509,-1.893129826,317.6922913,2776,1403.662964,-1,484.375
164427.24,328049.8438,-6.695392132,5.369239807,-4.356672764,-0.152671754,-0.213740453,-1.95419848,317.84375,2775,1403.662964,-1,484.375
164427.25,328057.6563,-6.771992683,5.321364403,-4.366247654,0.229007632,-0.351145029,-1.816793919,317.84375,2775,1403.662964,-1,484.375
164427.2581,328065.4688,-6.767205238,5.32854557,-4.375823021,0.229007632,-0.274809152,-1.404580116,317.84375,2775,1402.93042,-1,484.375
164427.2656,328073.2813,-6.726511002,5.333333492,-4.390185356,-0.061068702,-0.717557251,-0.839694679,317.6922913,2776,1400.732544,-1,484.375
164427.2705,328081.0938,-6.69060421,5.381208897,-4.394973278,-0.305343509,-1.389312983,-0.687022924,317.6922913,2776,1401.46521,-1,484.375
164427.2859,328088.9063,-6.67145443,5.390783787,-4.373429298,-0.793893158,-1.083969474,-0.839694679,317.6922913,2776,1400,-1,484.375
164427.2905,328096.7188,-6.654697895,5.455415726,-4.392579079,-0.748091578,-1.282442689,-1.099236608,317.84375,2775,1397.802246,-1,484.375
164427.2985,328104.5313,-6.66906023,5.464991093,-4.392579079,-0.854961812,-1.496183157,-1.038167953,317.5409546,2777,1397.06958,-1,484.375
164427.3043,328112.3438,-6.678635597,5.448234558,-4.373429298,-0.870229006,-1.435114503,-1.541984677,317.5409546,2777,1394.13916,-1,484.375
